2.1316 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
50.5700 	DATA 	Keypress: left
50.5796 	EXP 	fixation: autoDraw = False
50.5796 	EXP 	grating: autoDraw = False
50.5801 	EXP 	window1: recordFrameIntervals = False
51.5592 	EXP 	fixation: autoDraw = True
52.5627 	EXP 	fixation: autoDraw = False
52.5797 	EXP 	grating: autoDraw = True
52.5797 	EXP 	grating: tex = 'sin'
52.8796 	EXP 	grating: autoDraw = False
53.0670 	EXP 	window1: recordFrameIntervals = False
53.0698 	DATA 	Keypress: right
53.0795 	EXP 	fixation: autoDraw = False
53.0795 	EXP 	grating: autoDraw = False
53.0799 	EXP 	window1: recordFrameIntervals = False
54.0592 	EXP 	fixation: autoDraw = True
55.0626 	EXP 	fixation: autoDraw = False
55.0795 	EXP 	grating: autoDraw = True
55.0795 	EXP 	grating: tex = 'sin'
55.3793 	EXP 	grating: autoDraw = False
55.4494 	EXP 	window1: recordFrameIntervals = False
55.4515 	DATA 	Keypress: left
55.4626 	EXP 	fixation: autoDraw = False
55.4626 	EXP 	grating: autoDraw = False
55.4629 	EXP 	window1: recordFrameIntervals = False
56.4397 	EXP 	fixation: autoDraw = True
57.4462 	EXP 	fixation: autoDraw = False
57.4628 	EXP 	grating: autoDraw = True
57.4628 	EXP 	grating: tex = 'sin'
57.7627 	EXP 	grating: autoDraw = False
58.0146 	EXP 	window1: recordFrameIntervals = False
58.0161 	DATA 	Keypress: right
58.0290 	EXP 	fixation: autoDraw = False
58.0290 	EXP 	grating: autoDraw = False
58.0292 	EXP 	window1: recordFrameIntervals = False
59.0048 	EXP 	fixation: autoDraw = True
60.0127 	EXP 	fixation: autoDraw = False
60.0295 	EXP 	grating: autoDraw = True
60.0295 	EXP 	grating: tex = 'sin'
60.3291 	EXP 	grating: autoDraw = False
60.5337 	EXP 	window1: recordFrameIntervals = False
60.5365 	DATA 	Keypress: right
60.5461 	EXP 	fixation: autoDraw = False
60.5461 	EXP 	grating: autoDraw = False
60.5464 	EXP 	window1: recordFrameIntervals = False
61.5251 	EXP 	fixation: autoDraw = True
62.5290 	EXP 	fixation: autoDraw = False
62.5458 	EXP 	grating: autoDraw = True
62.5458 	EXP 	grating: tex = 'sin'
62.8458 	EXP 	grating: autoDraw = False
63.0334 	EXP 	window1: recordFrameIntervals = False
63.0361 	DATA 	Keypress: left
63.0460 	EXP 	fixation: autoDraw = False
63.0460 	EXP 	grating: autoDraw = False
63.0464 	EXP 	window1: recordFrameIntervals = False
64.0256 	EXP 	fixation: autoDraw = True
65.0293 	EXP 	fixation: autoDraw = False
65.0460 	EXP 	grating: autoDraw = True
65.0460 	EXP 	grating: tex = 'sin'
65.3460 	EXP 	grating: autoDraw = False
65.5337 	EXP 	window1: recordFrameIntervals = False
65.5364 	DATA 	Keypress: left
65.5459 	EXP 	fixation: autoDraw = False
65.5459 	EXP 	grating: autoDraw = False
65.5463 	EXP 	window1: recordFrameIntervals = False
66.5263 	EXP 	fixation: autoDraw = True
67.5291 	EXP 	fixation: autoDraw = False
67.5458 	EXP 	grating: autoDraw = True
67.5458 	EXP 	grating: tex = 'sin'
67.8456 	EXP 	grating: autoDraw = False
67.8650 	EXP 	window1: recordFrameIntervals = False
67.8667 	DATA 	Keypress: right
67.8790 	EXP 	fixation: autoDraw = False
67.8790 	EXP 	grating: autoDraw = False
67.8793 	EXP 	window1: recordFrameIntervals = False
68.8570 	EXP 	fixation: autoDraw = True
69.8625 	EXP 	fixation: autoDraw = False
69.8793 	EXP 	grating: autoDraw = True
69.8793 	EXP 	grating: tex = 'sin'
70.1793 	EXP 	grating: autoDraw = False
70.2998 	EXP 	window1: recordFrameIntervals = False
70.3025 	DATA 	Keypress: right
70.3125 	EXP 	fixation: autoDraw = False
70.3125 	EXP 	grating: autoDraw = False
70.3129 	EXP 	window1: recordFrameIntervals = False
71.2921 	EXP 	fixation: autoDraw = True
72.2958 	EXP 	fixation: autoDraw = False
72.3125 	EXP 	grating: autoDraw = True
72.3125 	EXP 	grating: tex = 'sin'
