trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.05110577803000367,0,0.0013015000149607658,108.21274009998888,108.21274009998888,108.52799510024488,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.05113520534971896,0,0.0013032997958362103,110.81177469994873,110.81177469994873,111.11171720037237,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.05116464961403776,0,0.0012801997363567352,113.19513190025464,113.19513190025464,113.49504470033571,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.05116464961403776,1,0.0012846998870372772,115.52844740031287,115.52844740031287,115.82816660031676,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05116464961403776,1,0.0013361000455915928,118.04500100016594,118.04500100016594,118.34491490013897,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.005,db,0.05113520534971896,1,0.0012849001213908195,120.67837420012802,120.67837420012802,120.9782283003442,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05116464961403776,0,0.0013367002829909325,123.14486900018528,123.14486900018528,123.44463529996574,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05116464961403776,1,0.000660100020468235,125.61152520030737,125.61152520030737,125.91145180026069,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.05116464961403776,1,0.001142099965363741,128.11150499992073,128.11150499992073,128.41098670009524,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.005,db,0.05113520534971896,1,0.0005824998952448368,130.51139850029722,130.51139850029722,130.81136120017618,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.05116464961403776,0,0.0012839999981224537,133.31143620004877,133.31143620004877,133.61131149996072,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.05116464961403776,1,0.0014697997830808163,135.66136249992996,135.66136249992996,135.96128119993955,0,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.051194110832716966,0,0.0013562999665737152,138.3279647999443,138.3279647999443,138.62784620001912,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.051194110832716966,1,0.0013326997868716717,140.97797519993037,140.97797519993037,141.2778266002424,1,724614,001,2022-09-07_11h02.54.696,psy staircase exp,2022.2.4,60.054830043872435,
